Show X Axis Title,,,,,,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES
Show Y Axis Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lines To Chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Format 1,Format 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start of Data,X-axis,X-axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019-09-18 00:55,2019-09-17-29.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day34_control_position1,Benzene,2.59,0.28,ppb,26750.852,Area,Toluene,3.67,0.47,ppb,44443.509,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.8,0.19,ppb,25477.728,Area,o-Xylene,6.36,0.1,ppb,12651.559,Area
,2019-09-18 01:25,2019-09-17-30.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,2.58,0.11,ppb,10478.455,Area,Toluene,0,0,ppb,0,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",0,0,ppb,0,Area,o-Xylene,0,0,ppb,0,Area
,2019-09-18 01:52,2019-09-17-31.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day34_control_position2,Benzene,2.57,0.24,ppb,22674.096,Area,Toluene,3.65,0.64,ppb,62076.489,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.8,0.23,ppb,34014.364,Area,o-Xylene,6.35,0.12,ppb,14468.461,Area
,2019-09-18 02:22,2019-09-17-32.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,2.58,0.06,ppb,6022.293,Area,Toluene,0,0,ppb,0,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.8,0.15,ppb,15131.525,Area,o-Xylene,6.33,0.1,ppb,12472.127,Area
,2019-09-18 02:48,2019-09-17-33.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day34_cc1_position1,Benzene,2.46,14.68,ppb,1390590.942,Area,Toluene,3.48,8.13,ppb,835428.103,Area,Ethylbenzene,5.4,3.1,ppb,385468.33,Area,"(m,p)Xylene",0,0,ppb,0,Area,o-Xylene,6.37,0.77,ppb,98289.375,Area
,2019-09-18 03:18,2019-09-17-34.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,0,0,ppb,0,Area,Toluene,0,0,ppb,0,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",0,0,ppb,0,Area,o-Xylene,0,0,ppb,0,Area
,2019-09-18 03:46,2019-09-17-35.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day34_cc1_position2,Benzene,2.55,52.83,ppb,5003035.322,Area,Toluene,3.47,3.86,ppb,394691.441,Area,Ethylbenzene,5.55,0.52,ppb,60277.666,Area,"(m,p)Xylene",5.79,0.26,ppb,43413.86,Area,o-Xylene,6.35,0.42,ppb,53682.879,Area
,2019-09-18 04:15,2019-09-17-36.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,2.58,0.04,ppb,4068.84,Area,Toluene,0,0,ppb,0,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.78,0.15,ppb,13915.386,Area,o-Xylene,0,0,ppb,0,Area
,2019-09-18 04:44,2019-09-17-37.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day34_cc2_position1,Benzene,2.45,6.12,ppb,580022.422,Area,Toluene,3.63,1.22,ppb,122593.933,Area,Ethylbenzene,5.43,0.69,ppb,82033.893,Area,"(m,p)Xylene",5.76,0.73,ppb,161219.577,Area,o-Xylene,6.35,0.38,ppb,48171.417,Area
,2019-09-18 05:13,2019-09-17-38.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,0,0,ppb,0,Area,Toluene,0,0,ppb,0,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",0,0,ppb,0,Area,o-Xylene,0,0,ppb,0,Area
